Serial No.,Commodity Name,Commodity Price (₹/kg),Supply-Demand Trend,Market Forecast,Financial Program,Government Policy,Government Subsidy,Government Policy Published Year,Price Change (%)
1,Wheat,20.0,Stable demand,Moderate price increase,PM Fasal Bima Yojana (PMFBY),Increased MSP,MSP Support,2018,-1.254598811526375
2,Rice,21.2,High demand,Strong price increase,PM-Kisan Samman Nidhi,Export Policy Update,Subsidy on Export,2019,4.507143064099161
3,Sugar,22.4,High demand,Moderate price increase,Agriculture Infrastructure Fund (AIF),Import Duty Reduction,Subsidy on Processing Units,2020,2.3199394181140507
4,Coffee,23.6,Stable demand,Moderate price increase,Interest Subvention Scheme (ISS),Organic Farming Promotion,Subsidy on Storage,2021,0.986584841970366
5,Tea,24.8,Excess supply,Potential price drop,Rashtriya Krishi Vikas Yojana (RKVY),Agri-Export Policy,Credit Support for Farmers,2022,-3.439813595575635
6,Maize,26.0,Excess supply,Potential price drop,National Food Security Mission (NFSM),Loan Interest Waiver,Subsidy for Machinery Purchase,2023,-3.4400547966379733
7,Cotton,27.2,Excess supply,Potential price drop,Cotton Corporation of India MSP Scheme,Market Linkage Support,Irrigation Support Scheme,2024,-4.419163878318005
8,Pulses,28.4,High demand,Strong price increase,Horticulture Mission for North East,Crop Insurance Expansion,Cold Storage Subsidy,2018,3.6617614577493516
9,Mustard,29.6,Stable demand,Moderate price increase,Organic Farming Promotion Scheme,Climate-Resilient Agriculture Policy,Seed Subsidy,2019,1.0111501174320878
10,Soybean,30.8,High demand,Moderate price increase,Dairy Entrepreneurship Development Scheme,Digital Agriculture Promotion,Fertilizer Subsidy,2020,2.0807257779604544
11,Barley,32.0,Excess supply,Potential price drop,Fisheries and Aquaculture Development Fund,Water Conservation Policy,Dairy Farming Support,2021,-4.7941550570419755
12,Groundnut,33.2,High demand,Strong price increase,Cold Storage Subsidy Scheme,Soil Health Management Policy,Renewable Energy for Farms,2022,4.699098521619943
13,Jowar,34.4,High demand,Strong price increase,PM Fasal Bima Yojana (PMFBY),Precision Farming Promotion,Farm Mechanization Subsidy,2023,3.324426408004218
14,Bajra,35.6,Excess supply,Moderate price increase,PM-Kisan Samman Nidhi,Increased MSP,MSP Support,2024,-2.8766088932172384
15,Ragi,36.8,Excess supply,Potential price drop,Agriculture Infrastructure Fund (AIF),Export Policy Update,Subsidy on Export,2018,-3.181750327928994
16,Sunflower,38.0,Excess supply,Potential price drop,Interest Subvention Scheme (ISS),Import Duty Reduction,Subsidy on Processing Units,2019,-3.165954901465662
17,Sesame,39.2,Stable demand,Moderate price increase,Rashtriya Krishi Vikas Yojana (RKVY),Organic Farming Promotion,Subsidy on Storage,2020,-1.9575775704046228
18,Linseed,40.4,Stable demand,Moderate price increase,National Food Security Mission (NFSM),Agri-Export Policy,Credit Support for Farmers,2021,0.24756431632237863
